Observed_Name,Concept,Dataset_Context,Example_Context,Confidence,User_Confirmed,Times_Seen,Active,Last_Seen,Context_Identity,Context_Family,Source_Run_ID,Learned_By
Movement,balance_movement,Comparative accrued-liability detail,Movement is the change between supported comparative balances and should preserve the source sign convention.,HIGH,Yes,1,Yes,2026-08-26,CURATED:accrual:movement,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Month,monthly_period,Monthly accrued-liability detail,Month represents the accounting period when paired with a balance/value measure.,HIGH,Yes,1,Yes,2026-08-26,CURATED:monthly:month,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Value,amount,Monthly or site-level accrued-liability detail,Value is the financial amount when the surrounding grain identifies site/liability/month.,HIGH,Yes,1,Yes,2026-08-26,CURATED:monthly:value,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Category,mapping_category,Account mapping schedule,Category in an explicit account-mapping schedule is a mapping target supported by the mapping context.,HIGH,Yes,1,Yes,2026-08-26,CURATED:mapping:category,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Parent Category,parent_mapping_category,Account mapping schedule,Parent Category is the higher-level mapping/hierarchy field when explicitly supplied by the source.,HIGH,Yes,1,Yes,2026-08-26,CURATED:mapping:parent_category,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Project ID,project_identifier,Project accrual or project master dataset,Project ID is a project-level identifier useful for linking accruals/AP/contracts/project status when evidence supports the relationship.,HIGH,Yes,1,Yes,2026-08-26,CURATED:project:project_id,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Contract ID,contract_identifier,Project accrual AP or contract-obligation dataset,Contract ID is a contract identifier useful for corroborating obligations and possible duplicate/completeness testing.,HIGH,Yes,1,Yes,2026-08-26,CURATED:contract:contract_id,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
PO,purchase_order_identifier,Project accrual AP or contract-obligation dataset,PO is a purchase-order identifier and can support cross-dataset linkage when cardinality is validated.,HIGH,Yes,1,Yes,2026-08-26,CURATED:procurement:po,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Opening,opening_balance,Accrual roll-forward dataset,Opening is the opening accrual balance in a roll-forward and should reconcile to prior closing where supported.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:opening,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Additions,accrual_additions,Accrual roll-forward dataset,Additions is the amount newly accrued during the period under the source sign convention.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:additions,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Utilisation,accrual_utilisation,Accrual roll-forward dataset,Utilisation is settlement/use of an existing accrual and should not be conflated with additions.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:utilisation,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Release,accrual_release,Accrual roll-forward dataset,Release is a release/reversal of an accrual and may be relevant to QoE when linked to P&L evidence.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:release,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Reclass,accrual_reclassification,Accrual roll-forward dataset,Reclass is a reclassification/other roll-forward movement and should preserve source sign and meaning.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:reclass,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Closing,closing_balance,Accrual roll-forward dataset,Closing is the roll-forward closing balance and should reconcile to the corresponding closing balance where supported.,HIGH,Yes,1,Yes,2026-08-26,CURATED:rollforward:closing,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Accrual Date,accrual_date,Detailed accrual schedule,Accrual Date is evidence for true aging when it represents the actual booking/obligation date and is validated in context.,HIGH,Yes,1,Yes,2026-08-26,CURATED:aging:accrual_date,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Expected Settlement Date,expected_settlement_date,Detailed accrual schedule,Expected Settlement Date is a settlement expectation field and can support settlement/aging analysis without proving actual payment.,HIGH,Yes,1,Yes,2026-08-26,CURATED:aging:expected_settlement_date,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Service Period Start,service_period_start,Detailed project/AP/contract dataset,Service Period Start identifies the beginning of the economic service period and can support cutoff/completeness analysis.,HIGH,Yes,1,Yes,2026-08-26,CURATED:service_period:start,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Service Period End,service_period_end,Detailed project/AP/contract dataset,Service Period End identifies the end of the economic service period and can support cutoff/completeness analysis.,HIGH,Yes,1,Yes,2026-08-26,CURATED:service_period:end,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Certified Work,certified_work,Contract-obligation dataset,Certified Work is evidence of work performed/certified and can support adequacy/completeness testing when linked to the obligation.,HIGH,Yes,1,Yes,2026-08-26,CURATED:contract:certified_work,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Estimated Unbilled Amount,estimated_unbilled_amount,Contract-obligation dataset,Estimated Unbilled Amount is an estimate of incurred but uninvoiced obligation and should be corroborated rather than treated as booked accrual automatically.,HIGH,Yes,1,Yes,2026-08-26,CURATED:contract:estimated_unbilled,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Amount Invoiced,amount_invoiced,Contract or AP support dataset,Amount Invoiced is invoiced obligation evidence and can support adequacy/settlement tests when linked appropriately.,HIGH,Yes,1,Yes,2026-08-26,CURATED:contract:amount_invoiced,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Payment Amount,payment_amount,Payroll AP or post-close settlement dataset,Payment Amount is an actual payment/settlement measure when paired with a valid payment date/reference.,HIGH,Yes,1,Yes,2026-08-26,CURATED:settlement:payment_amount,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Payment Date,payment_date,Payroll AP or post-close settlement dataset,Payment Date is actual settlement timing evidence and can support subsequent-payment testing.,HIGH,Yes,1,Yes,2026-08-26,CURATED:settlement:payment_date,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
Cost Category,cost_category,Monthly P&L or project cost dataset,Cost Category is the expense classification used for accrual-to-expense context when paired with period and amount.,HIGH,Yes,1,Yes,2026-08-26,CURATED:pnl:cost_category,Curated synthetic OCL training,CURATED_TRAINING_PROMPTS,CURATED_GOLDEN_TRUTH
